Papel   Cotacao P/L        P/VP    PSR        DY      P/Ativo    P/Cap.Giro P/EBIT     P/ACL       EV/EBIT     EV/EBITDA Mrg.Ebit    Mrg.Liq.    Liq.Corr. ROIC        ROE   Liq.2meses
AZEV4   2.24    -8.94      2.68    0.766      0.00    0.625      -9.67      -4.00      -1.72       -4.44       -8.23   -0.1915     -0.0858     0.86    -0.1792     -0.3005 4979380.00
TERI3   64.28   -8.83      0.29    0.107      0.00    0.081      7.90       7.20       -0.26       39.56       39.56   0.0149      -0.0191     1.03    0.0125      -0.0327 0.00   
AZEV3   2.09    -8.34      2.50    0.715      0.00    0.583      -9.02      -3.73      -1.60       -4.17       -7.73   -0.1915     -0.0858     0.86    -0.1792     -0.3005 1964230.00
ALPK3   4.16    -8.24      2.34    0.691      0.00    0.346      -2.98      3.32       -0.49       7.81        4.18    0.2082      -0.0799     0.55    0.1218      -0.2846 672500.00
DASA3   9.16    -8.18      0.87    0.485      0.0079  0.255      3.98       6.59       -0.63       15.16       7.03    0.0736      -0.0598     1.27    0.0448      -0.1061 5190000.00
MNPR4   4.63    -8.15      -0.10   0.087      0.00    0.099      -0.09      0.50       -0.07       0.50        0.43    0.1747      -0.0106     0.34    0.21        0.0125 0.00   
SEMP3   16.86   -8.12      1.36    15.081     0.00    1.201      15.67      -4.42      15.67       -4.07       -4.07   -3.4098     -1.8582     1.64    -0.3021     -0.1681 0.00   
SZPQ4   6.64    -7.85      2.20    0.855      0.00    0.744      2.62       -20.31     -3.17       -22.77      -22.77  -0.0421     -0.1089     2.97    -0.0377     -0.28 0.00   
MEDI3   11.55   -7.52      1.89    0.374      0.00    0.824      -10.02     -9.11      -3.31       -6.61       -6.61   -0.0411     -0.0498     0.79    -0.123      -0.2513 0.00   
TEND3   13.42   -7.14      1.85    0.594      0.00    0.362      3.23       17.22      -1.10       22.60       13.92   0.0345      -0.0859     1.31    0.0262      -0.2584 39632400.00
ENJU3   1.53    -7.04      0.88    1.878      0.00    0.714      1.20       -4.44      1.29        -0.53       -0.79   -0.423      -0.267      5.06    -0.5168     -0.1245 548482.00
BRFS3   15.09   -6.88      1.80    0.471      0.00    0.428      4.00       1074.48    -1.61       1536.57     11.43   0.0004      -0.0663     1.29    0.0007      -0.2615 230508000.00
TCNO3   1.20    -6.81      -8.40   0.000      0.00    0.034      -0.08      -2.87      -0.04       -15.11      -17.45  0.00        0.00        0.28    -0.0159     1.2336 0.00   
BIOM3   6.36    -6.64      5.72    4.551      0.00    1.670      16.30      -8.10      -4.76       -9.67       -9.58   -0.5617     -0.686      1.40    -0.2604     -0.8626 62193.10
VVAR11  14.58   -6.46      2.61    0.382      0.00    0.358      -2.44      7.93       -0.80       12.75       7.18    0.0481      -0.0591     0.74    0.0625      -0.4032 0.00   
VVAR4   4.84    -6.43      2.59    0.380      0.00    0.357      -2.43      7.90       -0.80       12.72       7.17    0.0481      -0.0591     0.74    0.0625      -0.4032 0.00   
PCAR4   72.11   -6.35      3.88    28.731     0.00    0.859      10.23      -69.82     -2.00       -78.10      96.85   -0.4115     -4.2684     1.32    -0.0169     -0.612 0.00   
CBAV3   4.09    -6.25      0.51    0.329      0.1077  0.181      0.89       -7.66      -0.69       -17.53      21.97   -0.043      -0.041      2.26    -0.0282     -0.0814 19220200.00
AERI3   0.87    -6.09      0.82    0.207      0.00    0.174      0.81       2.26       -1.59       5.74        4.86    0.0912      -0.0339     1.46    0.1074      -0.1342 3803750.00
PCAR5   67.12   -5.91      3.61    26.743     0.00    0.799      9.52       -64.99     -1.86       -73.27      90.86   -0.4115     -4.2684     1.32    -0.0169     -0.612 0.00   
MWET3   13.30   -5.72      -2.64   0.098      0.00    0.096      -1.13      -4.35      -0.15       -16.53      -53.54  -0.0225     -0.0172     0.82    -0.0245     0.4611 0.00   
BLUT3   5.14    -5.63      0.46    0.000      0.00    0.138      -0.76      -42.93     -0.20       -53.97      -53.97  0.00        0.00        0.00    -0.0033     -0.0824 3091.81
BUET3   24.99   -5.46      -0.97   1.961      0.00    0.572      -0.67      -13.13     -0.39       -22.60      -36.32  -0.1493     -0.3593     0.11    -0.0595     0.1779 0.00   
